id,language,name,url
12197036,Java,YalePublic-android,https://api.github.com/repos/YaleSTC/YalePublic-android
12192102,Java,tephra,https://api.github.com/repos/caskdata/tephra
12169301,Java,opensoc-streaming,https://api.github.com/repos/OpenSOC/opensoc-streaming
11780493,Java,cdap-ingest,https://api.github.com/repos/caskdata/cdap-ingest
11775070,Java,openmrs-module-fhir,https://api.github.com/repos/openmrs/openmrs-module-fhir
11689789,Java,mendeley-android-sdk,https://api.github.com/repos/Mendeley/mendeley-android-sdk
11667464,Java,mapfish-printV3,https://api.github.com/repos/camptocamp/mapfish-printV3
11631262,Java,Curso2014-2015,https://api.github.com/repos/FacultadInformatica-LinkedData/Curso2014-2015
11551386,Java,htm.java,https://api.github.com/repos/numenta/htm.java
11271636,Java,plugin-java,https://api.github.com/repos/codenvy/plugin-java
11097044,Java,openmrs-contrib-android-client,https://api.github.com/repos/openmrs/openmrs-contrib-android-client
10609844,Java,OG-Commons,https://api.github.com/repos/OpenGamma/OG-Commons
10597628,Java,gitlab-plugin,https://api.github.com/repos/jenkinsci/gitlab-plugin
10477353,Java,Sunshine,https://api.github.com/repos/udacity/Sunshine
10308094,Java,cli,https://api.github.com/repos/codenvy/cli
10204911,Java,elasticbox-plugin,https://api.github.com/repos/jenkinsci/elasticbox-plugin
10144830,Java,plugin-git,https://api.github.com/repos/codenvy/plugin-git
10104001,Java,VersionOne.Integration.ClarityPPM,https://api.github.com/repos/versionone/VersionOne.Integration.ClarityPPM
9996575,Java,camus,https://api.github.com/repos/Shopify/camus
9884072,Java,gatein-portal,https://api.github.com/repos/exoplatform/gatein-portal
9744383,Java,podio-android,https://api.github.com/repos/podio/podio-android
9684473,Java,stratio-deep,https://api.github.com/repos/Stratio/deep-spark
9017884,Java,make-a-wish,https://api.github.com/repos/fapereira1/make-a-wish
8464335,Java,smg-server,https://api.github.com/repos/lisajluo/smg-server
6405451,Java,jive-utils,https://api.github.com/repos/jivesoftware/jive-utils
4426791,Java,systemsgenetics,https://api.github.com/repos/molgenis/systemsgenetics
1931310,Java,pentaho-commons-gwt-modules,https://api.github.com/repos/pentaho/pentaho-commons-gwt-modules
1437066,Java,dojos,https://api.github.com/repos/novoda/dojos
1003702,Java,LEGUP,https://api.github.com/repos/Bram28/LEGUP
913688,Java,mule-common,https://api.github.com/repos/mulesoft/mule-common
834358,Java,sauce-ondemand-plugin,https://api.github.com/repos/jenkinsci/sauce-ondemand-plugin
823636,Java,nuxeo-csv,https://api.github.com/repos/nuxeo/nuxeo-csv
463640,Java,fmk-schemas,https://api.github.com/repos/trifork/fmk-schemas
462931,Java,nuxeo-apidoc-server,https://api.github.com/repos/nuxeo/nuxeo-apidoc-server
462902,Java,nuxeo-platform-importer,https://api.github.com/repos/nuxeo/nuxeo-platform-importer
460133,Java,nuxeo-diff,https://api.github.com/repos/nuxeo/nuxeo-diff
435951,Java,musicdroid,https://api.github.com/repos/Catrobat/Musicdroid
435675,Java,nuxeo-platform-lang-ext,https://api.github.com/repos/nuxeo/nuxeo-platform-lang-ext
398258,Java,nuxeo-platform-forms-layout-demo,https://api.github.com/repos/nuxeo/nuxeo-platform-forms-layout-demo
160532,Java,couchbase-java-client,https://api.github.com/repos/couchbase/couchbase-java-client
144429,Java,openmrs-module-reporting,https://api.github.com/repos/openmrs/openmrs-module-reporting
103048,Java,org.ops4j.pax.exam2,https://api.github.com/repos/ops4j/org.ops4j.pax.exam2
88971,Java,nuxeo-dm,https://api.github.com/repos/nuxeo/nuxeo-dm
86480,Java,nuxeo-platform-video,https://api.github.com/repos/nuxeo/nuxeo-platform-video
86465,Java,nuxeo-chemistry,https://api.github.com/repos/nuxeo/nuxeo-chemistry
83411,Java,nuxeo-template-rendering,https://api.github.com/repos/nuxeo/nuxeo-template-rendering
71374,Java,data-access,https://api.github.com/repos/pentaho/data-access
70634,Java,mondrian,https://api.github.com/repos/pentaho/mondrian
67522,Java,jagger,https://api.github.com/repos/griddynamics/jagger
61494,Java,nuxeo-jsf,https://api.github.com/repos/nuxeo/nuxeo-jsf
60686,Java,reddeer,https://api.github.com/repos/jboss-reddeer/reddeer
31975,Java,nuxeo-quota,https://api.github.com/repos/nuxeo/nuxeo-quota
31845,Java,nuxeo-distribution,https://api.github.com/repos/nuxeo/nuxeo-distribution
22668,Java,Priam,https://api.github.com/repos/Netflix/Priam
18159,Java,warnings-plugin,https://api.github.com/repos/jenkinsci/warnings-plugin
13733,Java,gerrit-trigger-plugin,https://api.github.com/repos/jenkinsci/gerrit-trigger-plugin
8381,Java,nuxeo-core,https://api.github.com/repos/nuxeo/nuxeo-core
7933,Java,facebook-android-sdk,https://api.github.com/repos/facebook/facebook-android-sdk
6413,Java,commons,https://api.github.com/repos/twitter/commons
4563,Java,voldemort,https://api.github.com/repos/voldemort/voldemort
